"","M_rout","M_rltsh","M_FT","share","M_shower","H_rout","H_rltsh","H_FT","shared","H_shower","characteristic","H_char"
"1","day","solo","home","Y","night","day","solo","out","Y","morning","MSH","MSO"
"2","day","solo","home","N","night","day","family","out","N","night","MSH","MFO"
"3","night","family","out","Y","morning","night","family","out","Y","night","NFO","NFO"
"4","night","family","out","Y","night","night","family","out","Y","morning","NFO","NFO"
"5","day","family","home","Y","night","day","family","out","Y","morning","MFH","MFO"
"6","night","solo","home","Y","night","night","solo","out","Y","morning","NSH","NSO"
"7","day","family","out","Y","morning","night","family","out","Y","morning","MFO","NFO"
"8","night","family","home","Y","morning","night","family","home","Y","night","NFH","NFH"
"9","night","solo","home","N","morning","night","solo","out","N","morning","NSH","NSO"
"10","day","solo","home","Y","morning","day","solo","home","Y","morning","MSH","MSH"
"11","night","family","home","Y","night","night","family","out","Y","night","NFH","NFO"
"12","night","solo","out","Y","morning","night","solo","out","Y","night","NSO","NSO"
"13","day","family","out","Y","morning","day","family","out","Y","night","MFO","MFO"
"14","night","solo","home","N","night","night","solo","out","N","night","NSH","NSO"
"15","night","family","home","Y","night","night","solo","out","Y","morning","NFH","NSO"
"16","day","solo","home","N","morning","day","family","out","N","morning","MSH","MFO"
"17","day","family","home","Y","night","day","solo","out","N","morning","MFH","MSO"
"18","night","family","home","N","morning","night","family","out","Y","morning","NFH","NFO"
"19","day","family","home","Y","morning","night","family","home","Y","night","MFH","NFH"
"20","night","family","home","Y","night","night","family","out","Y","night","NFH","NFO"
"21","night","family","home","Y","night","night","family","out","Y","morning","NFH","NFO"
"22","day","family","out","Y","night","day","family","home","Y","morning","MFO","MFH"
"23","night","family","out","Y","night","night","family","out","Y","night","NFO","NFO"
"24","night","solo","home","Y","night","night","solo","out","Y","morning","NSH","NSO"
"25","night","family","out","Y","night","night","family","out","Y","morning","NFO","NFO"
"26","night","family","out","Y","night","night","family","out","Y","morning","NFO","NFO"
"27","day","solo","out","Y","night","day","solo","out","Y","night","MSO","MSO"
"28","night","family","home","Y","morning","night","family","out","N","night","NFH","NFO"
"29","night","solo","home","Y","morning","night","solo","out","N","morning","NSH","NSO"
"30","night","solo","home","N","night","night","solo","out","N","morning","NSH","NSO"
"31","night","family","home","Y","night","night","family","home","Y","night","NFH","NFH"
"32","night","family","home","Y","morning","night","family","out","Y","night","NFH","NFO"
"33","night","solo","out","Y","morning","night","solo","out","N","morning","NSO","NSO"
"34","night","solo","home","N","night","day","solo","out","N","night","NSH","MSO"
"35","night","family","out","Y","night","night","family","home","N","night","NFO","NFH"
"36","night","family","home","Y","night","night","family","out","N","morning","NFH","NFO"
"37","day","family","out","Y","night","night","family","out","Y","night","MFO","NFO"
"38","day","family","out","N","morning","day","solo","out","N","night","MFO","MSO"
"39","night","family","home","Y","night","night","solo","out","N","night","NFH","NSO"
"40","night","family","home","N","night","night","family","out","N","night","NFH","NFO"
"41","day","family","home","N","night","day","family","out","Y","morning","MFH","MFO"
"42","night","solo","home","Y","night","night","solo","out","N","night","NSH","NSO"
"43","night","family","home","Y","night","night","family","home","Y","night","NFH","NFH"
"44","day","solo","home","N","night","day","solo","out","Y","night","MSH","MSO"
"45","night","family","out","N","night","day","family","out","Y","night","NFO","MFO"
"46","night","family","out","Y","morning","night","family","home","Y","night","NFO","NFH"
"47","night","family","home","Y","morning","day","family","out","Y","morning","NFH","MFO"
"48","night","solo","home","N","night","night","solo","out","N","morning","NSH","NSO"
"49","night","family","home","Y","night","night","family","home","Y","morning","NFH","NFH"
"50","night","family","home","Y","night","day","family","out","Y","night","NFH","MFO"
"51","night","solo","home","Y","night","night","solo","out","N","morning","NSH","NSO"
"52","night","family","out","N","night","night","family","out","N","night","NFO","NFO"
"53","night","solo","home","N","morning","night","solo","out","N","night","NSH","NSO"
"54","night","solo","home","N","night","night","solo","out","N","night","NSH","NSO"
"55","day","family","out","Y","morning","day","family","out","N","morning","MFO","MFO"
"56","day","solo","home","Y","night","day","solo","out","Y","morning","MSH","MSO"
"57","night","family","home","Y","morning","night","solo","out","N","morning","NFH","NSO"
"58","night","family","home","Y","morning","day","family","out","Y","night","NFH","MFO"
"59","night","family","home","Y","morning","night","family","out","Y","night","NFH","NFO"
"60","night","solo","home","N","night","night","solo","out","N","night","NSH","NSO"
"61","night","family","home","N","morning","night","family","out","N","night","NFH","NFO"
"62","night","family","home","Y","night","night","family","out","Y","night","NFH","NFO"
"63","night","family","home","N","morning","day","solo","out","Y","morning","NFH","MSO"
"64","day","solo","home","N","night","day","solo","out","N","night","MSH","MSO"
"65","night","family","out","Y","night","night","family","out","Y","night","NFO","NFO"
"66","night","family","home","N","morning","day","family","out","N","morning","NFH","MFO"
"67","night","solo","home","Y","morning","night","solo","out","Y","night","NSH","NSO"
"68","day","family","home","Y","night","night","solo","out","N","night","MFH","NSO"
"69","night","solo","home","Y","morning","night","solo","home","Y","night","NSH","NSH"
"70","night","family","out","Y","night","night","family","out","Y","night","NFO","NFO"
"71","night","family","home","Y","night","night","solo","out","Y","night","NFH","NSO"
"72","night","solo","home","N","morning","night","solo","out","N","night","NSH","NSO"
"73","day","family","home","Y","morning","day","family","out","Y","morning","MFH","MFO"
"74","night","solo","home","N","night","night","solo","home","N","night","NSH","NSH"
"75","night","solo","out","N","morning","day","solo","home","Y","morning","NSO","MSH"
"76","night","solo","home","Y","morning","day","family","out","N","night","NSH","MFO"
"77","night","family","home","Y","morning","night","family","home","N","morning","NFH","NFH"
"78","night","family","home","N","morning","night","family","out","N","morning","NFH","NFO"
"79","day","family","home","Y","night","day","family","out","Y","night","MFH","MFO"
"80","night","family","home","Y","morning","night","family","out","Y","night","NFH","NFO"
"81","night","solo","out","N","night","day","solo","out","Y","night","NSO","MSO"
"82","night","family","home","Y","night","day","solo","out","N","morning","NFH","MSO"
"83","night","solo","home","N","night","night","solo","out","N","morning","NSH","NSO"
"84","night","family","home","N","night","night","family","out","N","morning","NFH","NFO"
"85","night","family","home","Y","morning","night","family","out","Y","morning","NFH","NFO"
"86","day","solo","out","Y","morning","day","solo","out","N","night","MSO","MSO"
"87","day","family","out","Y","morning","night","solo","out","N","night","MFO","NSO"
"88","day","solo","home","N","morning","day","solo","out","Y","night","MSH","MSO"
"89","day","family","out","Y","night","night","solo","home","Y","morning","MFO","NSH"
"90","night","solo","out","N","night","night","solo","out","N","night","NSO","NSO"
"91","night","family","home","Y","morning","night","solo","out","Y","morning","NFH","NSO"
"92","night","family","out","Y","night","night","family","home","Y","night","NFO","NFH"
"93","night","solo","home","N","morning","night","solo","out","N","morning","NSH","NSO"
"94","night","family","home","Y","night","night","family","out","Y","night","NFH","NFO"
"95","night","family","home","N","night","night","family","out","N","night","NFH","NFO"
